President,Date,Proclamation Name,Link
George Washington,"October 3, 1789",Proclamation - Day of National Thanksgiving,http://www.presidency.ucsb.edu/ws/index.php?pid=65502
George Washington,"August 14, 1790",Proclamation - Publishing a Treaty of Peace and Friendship Between the United States and the Creek Nation of Indians,http://www.presidency.ucsb.edu/ws/index.php?pid=65565
George Washington,"August 26, 1790","Proclamation - Warning Aginst Violation of Treaties Between the United States and the Cherokee, Choctaw, and Chicksaw Indians",http://www.presidency.ucsb.edu/ws/index.php?pid=65566
George Washington,"January 24, 1791",Proclamation 1 - Defining the Boundaries of the District of Columbia,http://www.presidency.ucsb.edu/ws/index.php?pid=65589
George Washington,"March 19, 1791",Proclamation 2 - Respecting the Acts of James O'Fallon in Kentucky,http://www.presidency.ucsb.edu/ws/index.php?pid=65590
George Washington,"March 30, 1791",Proclamation - Ordering the Completion of a Survey to Establish the Boundaries of the District of Columbia,http://www.presidency.ucsb.edu/ws/index.php?pid=65591
George Washington,"September 15, 1792",Proclamation 3B - Cessation of Violence and Obstruction of Justice in Protest of Liquor Laws,http://www.presidency.ucsb.edu/ws/index.php?pid=65427
George Washington,"December 12, 1792",Proclamation 3A - Offering Reward for the Capture of Participants in the Burning of a Georgia Cherokee Indian Town,http://www.presidency.ucsb.edu/ws/index.php?pid=65443
George Washington,"April 22, 1793","Proclamation 4 - Neutrality of the United States in the War Involving Austria, Prussia, Sardinia, Great Britain, and the United Netherlands Against France",http://www.presidency.ucsb.edu/ws/index.php?pid=65475
George Washington,"March 24, 1794",Proclamation 5 - Respecting Enlisting Men in Kentucky to Invade a Neighboring Nation,http://www.presidency.ucsb.edu/ws/index.php?pid=65476
George Washington,"August 7, 1794",Proclamation - Cessation of Violence and Obstruction of Justice in Protest of Liquor Laws in Pennsylvania,http://www.presidency.ucsb.edu/ws/index.php?pid=65477
George Washington,"September 25, 1794",Proclamation - Authorizing Military Intervention to End Violence and Obstruction of Justice in Protest of Liquor Laws in Pennsylvania,http://www.presidency.ucsb.edu/ws/index.php?pid=65478
George Washington,"January 1, 1795",Proclamation 6 - Day of Public Thanksgiving,http://www.presidency.ucsb.edu/ws/index.php?pid=65500
George Washington,"July 10, 1795",Proclamation - Granting Pardon to Certain Persons Formerly Engaged in Violence and Obstruction of Justice in Protest of Liquor Laws in Pennsylvania,http://www.presidency.ucsb.edu/ws/index.php?pid=65501
George Washington,"March 1, 1797",Proclamation - Convening an Extra Session of the United States Senate,http://www.presidency.ucsb.edu/ws/index.php?pid=65538
John Adams,"March 25, 1797",Proclamation - Convening an Extra Session of the Congress,http://www.presidency.ucsb.edu/ws/index.php?pid=65625
John Adams,"July 22, 1797",Proclamation 7 - Notice of the Commencement of Minting United States Coins,http://www.presidency.ucsb.edu/ws/index.php?pid=65627
John Adams,"March 23, 1798","Proclamation 8 - Recommending a National Day of Humiliation, Fasting, and Prayer",http://www.presidency.ucsb.edu/ws/index.php?pid=65661
John Adams,"July 13, 1798",Proclamation - Annulment of Recognition of French Consuls and Vice Consuls,http://www.presidency.ucsb.edu/ws/index.php?pid=65662
John Adams,"July 16, 1798",Proclamation - Convening an Extra Session of the United States Senate,http://www.presidency.ucsb.edu/ws/index.php?pid=67079
John Adams,"March 6, 1799","Proclamation - Recommending a National Day of Humiliation, Fasting, and Prayer",http://www.presidency.ucsb.edu/ws/index.php?pid=65675
John Adams,"March 12, 1799","Proclamation 9 - Law and Order in the Counties of Northampton, Montgomery, and Bucks, in the State of Pennsylvania",http://www.presidency.ucsb.edu/ws/index.php?pid=65676
John Adams,"June 26, 1799","Proclamation 10 - Suspending, as to St. Domingo, the Restraints of the Act of 1799",http://www.presidency.ucsb.edu/ws/index.php?pid=65677
John Adams,"July 1, 1799","Proclamation - Withdrawal of Land at Martha's Vineyard, Massachusetts for a Lighthouse",http://www.presidency.ucsb.edu/ws/index.php?pid=67080
John Adams,"May 9, 1800",Proclamation - Remission of Trade Prohibition with Hispaniola,http://www.presidency.ucsb.edu/ws/index.php?pid=65690
John Adams,"May 21, 1800","Proclamation - Granting Pardon to Certain Persons Engaged in Insurrection Against the United States in the Counties of Northampton, Montgomery, and Bucks, in the State of Pennsylvania",http://www.presidency.ucsb.edu/ws/index.php?pid=65692
John Adams,"September 6, 1800",Proclamation 10A - Extending Commercial Intercourse to St. Domingo,http://www.presidency.ucsb.edu/ws/index.php?pid=65693
John Adams,"January 30, 1801",Proclamation - Convening an Extra Session of the United States Senate,http://www.presidency.ucsb.edu/ws/index.php?pid=65705
Thomas Jefferson,"March 11, 1801",Proclamation - Building Regulations in the District of Columbia,http://www.presidency.ucsb.edu/ws/index.php?pid=65809
Thomas Jefferson,"July 16, 1803",Proclamation - Convening an Extra Session of the Congress,http://www.presidency.ucsb.edu/ws/index.php?pid=65828
Thomas Jefferson,"May 20, 1804",Proclamation -  Establishing the Mobile District and Designation of Fort Stoddert as a Port of Entry,http://www.presidency.ucsb.edu/ws/index.php?pid=65849
Thomas Jefferson,"May 3, 1806","Proclamation - Ordering the Arrest of British Citizens Henry Whitley, John Nairn, and Slingsby Simpson for the Murder of John Pierce",http://www.presidency.ucsb.edu/ws/index.php?pid=65715
Thomas Jefferson,"November 27, 1806",Proclamation 13 - Warning Against Unauthorized Military Expedition Against the Dominions of Spain,http://www.presidency.ucsb.edu/ws/index.php?pid=65716
Thomas Jefferson,"July 2, 1807",Proclamation 14 - Requiring Removal of British Armed Vessels From United States Ports and Waters,http://www.presidency.ucsb.edu/ws/index.php?pid=65733
